"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","PG","HMC","5","10","1","z[9]","r_hat","1.0042948213450729"
"GMM","PG","HMC","5","10","1","z[10]","ess","30.695498999256447"
"GMM","PG","HMC","5","10","1","z[10]","r_hat","1.0041950557557504"
"GMM","PG","HMC","5","10","1","μ[1]","ess","32.633351604177406"
"GMM","PG","HMC","5","10","1","μ[1]","r_hat","1.0003993673069584"
"GMM","PG","HMC","5","10","1","μ[2]","ess","71.95910476631671"
"GMM","PG","HMC","5","10","1","μ[2]","r_hat","1.012981383994223"
"GMM","PG","HMC","5","10","9","w[1]","ess","22.704670942994177"
"GMM","PG","HMC","5","10","9","w[1]","r_hat","1.0764819694830172"
"GMM","PG","HMC","5","10","9","w[2]","ess","22.704670942994174"
"GMM","PG","HMC","5","10","9","w[2]","r_hat","1.0764819694830172"
"GMM","PG","HMC","5","10","9","z[1]","ess","25.30278720410715"
"GMM","PG","HMC","5","10","9","z[1]","r_hat","1.0656555173536324"
"GMM","PG","HMC","5","10","9","z[2]","ess","24.187428306701502"
"GMM","PG","HMC","5","10","9","z[2]","r_hat","1.0709068217207016"
"GMM","PG","HMC","5","10","9","z[3]","ess","24.35145418420254"
"GMM","PG","HMC","5","10","9","z[3]","r_hat","1.0725179234663176"
